Author,Shubham Malik
GitHub,https://github.com/subhm2004
Repo,https://github.com/subhm2004/DSA-CP
Tracker,DSA Patterns — progress tracker (Done/Todo auto-mapped from repo)
Generated,2026-08-07

sr,category_no,category,pattern_no,pattern,leetcode_id,problem,status,repo_file,in_30day_core,leetcode_url
96,3,Tree Traversal Patterns (DFS & BFS),17,Serialization and Deserialization,297,Serialize and Deserialize Binary Tree,Done,DSA/trees/serialize_deserialize_binary_tree.cpp,Yes,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
97,3,Tree Traversal Patterns (DFS & BFS),17,Serialization and Deserialization,572,Subtree of Another Tree,Todo,,No,https://leetcode.com/problems/subtree-of-another-tree/
98,3,Tree Traversal Patterns (DFS & BFS),17,Serialization and Deserialization,652,Find Duplicate Subtrees,Todo,,No,https://leetcode.com/problems/find-duplicate-subtrees/
99,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,130,Surrounded Regions,Done,DSA/graphs/surrounded_regions.cpp,No,https://leetcode.com/problems/surrounded-regions/
100,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,200,Number of Islands,Done,DSA/graphs/number_of_islands.cpp,Yes,https://leetcode.com/problems/number-of-islands/
101,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,417,Pacific Atlantic Water Flow,Done,DSA/graphs/pacific_atlantic_water_flow.cpp,No,https://leetcode.com/problems/pacific-atlantic-water-flow/
102,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,547,Number of Provinces,Done,DSA/graphs/number_of_provinces.cpp,Yes,https://leetcode.com/problems/number-of-provinces/
103,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,695,Max Area of Island,Done,DSA/graphs/max_area_of_island.cpp,Yes,https://leetcode.com/problems/max-area-of-island/
104,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,733,Flood Fill,Done,DSA/graphs/flood_fill.cpp,Yes,https://leetcode.com/problems/flood-fill/
105,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,841,Keys and Rooms,Todo,,No,https://leetcode.com/problems/keys-and-rooms/
106,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,1020,Number of Enclaves,Todo,,No,https://leetcode.com/problems/number-of-enclaves/
107,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,1254,Number of Closed Islands,Done,DSA/graphs/number_of_closed_islands.cpp,No,https://leetcode.com/problems/number-of-closed-islands/
108,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,1905,Count Sub Islands,Todo,,No,https://leetcode.com/problems/count-sub-islands/
109,4,Graph Traversal Patterns (DFS & BFS),18,DFS - Connected Components / Island Counting,2101,Detonate the Maximum Bombs,Todo,,No,https://leetcode.com/problems/detonate-the-maximum-bombs/
110,4,Graph Traversal Patterns (DFS & BFS),19,BFS - Connected Components / Island Counting,542,01 Matrix,Todo,,No,https://leetcode.com/problems/01-matrix/
111,4,Graph Traversal Patterns (DFS & BFS),19,BFS - Connected Components / Island Counting,994,Rotting Oranges,Done,DSA/graphs/rotten_oranges.cpp,No,https://leetcode.com/problems/rotting-oranges/
112,4,Graph Traversal Patterns (DFS & BFS),19,BFS - Connected Components / Island Counting,1091,Shortest Path in Binary Matrix,Todo,,No,https://leetcode.com/problems/shortest-path-in-binary-matrix/
113,4,Graph Traversal Patterns (DFS & BFS),20,DFS - Cycle Detection,207,Course Schedule,Done,DSA/graphs/cycle_detection_directed.cpp,Yes,https://leetcode.com/problems/course-schedule/
114,4,Graph Traversal Patterns (DFS & BFS),20,DFS - Cycle Detection,210,Course Schedule II,Done,DSA/graphs/topological_sort_kahn.cpp,Yes,https://leetcode.com/problems/course-schedule-ii/
115,4,Graph Traversal Patterns (DFS & BFS),20,DFS - Cycle Detection,802,Find Eventual Safe States,Todo,,No,https://leetcode.com/problems/find-eventual-safe-states/
116,4,Graph Traversal Patterns (DFS & BFS),20,DFS - Cycle Detection,1059,All Paths from Source Lead to Destination,Todo,,No,https://leetcode.com/problems/all-paths-from-source-lead-to-destination/
117,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),210,Course Schedule II,Done,DSA/graphs/topological_sort_kahn.cpp,Yes,https://leetcode.com/problems/course-schedule-ii/
118,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),269,Alien Dictionary,Todo,,Yes,https://leetcode.com/problems/alien-dictionary/
119,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),310,Minimum Height Trees,Todo,,No,https://leetcode.com/problems/minimum-height-trees/
120,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),444,Sequence Reconstruction,Todo,,No,https://leetcode.com/problems/sequence-reconstruction/
121,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),1136,Parallel Courses,Todo,,No,https://leetcode.com/problems/parallel-courses/
122,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),1857,Largest Color Value in a Directed Graph,Todo,,No,https://leetcode.com/problems/largest-color-value-in-a-directed-graph/
123,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),2050,Parallel Courses III,Todo,,No,https://leetcode.com/problems/parallel-courses-iii/
124,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),2115,Find All Possible Recipes from Given Supplies,Todo,,No,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies/
125,4,Graph Traversal Patterns (DFS & BFS),21,BFS - Topological Sort(Kahn's Algorithm),2392,Build a Matrix With Conditions,Todo,,No,https://leetcode.com/problems/build-a-matrix-with-conditions/
126,4,Graph Traversal Patterns (DFS & BFS),22,Deep Copy / Cloning,133,Clone Graph,Done,DSA/graphs/clone_graph.cpp,Yes,https://leetcode.com/problems/clone-graph/
127,4,Graph Traversal Patterns (DFS & BFS),22,Deep Copy / Cloning,1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,Todo,,No,https://leetcode.com/problems/find-the-city-with-the-smallest-number-of-neighbors-at-a-threshold-distance/
128,4,Graph Traversal Patterns (DFS & BFS),22,Deep Copy / Cloning,138,Copy List with Random Pointer,Todo,,No,https://leetcode.com/problems/copy-list-with-random-pointer/
129,4,Graph Traversal Patterns (DFS & BFS),22,Deep Copy / Cloning,1490,Clone N-ary Tree,Todo,,No,https://leetcode.com/problems/clone-nary-tree/
130,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,743,Network Delay Time,Todo,,No,https://leetcode.com/problems/network-delay-time/
131,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,778,Swim in Rising Water,Todo,,No,https://leetcode.com/problems/swim-in-rising-water/
132,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,1514,Path with Maximum Probability,Todo,,No,https://leetcode.com/problems/path-with-maximum-probability/
133,4,Graph Traversal Patterns (DFS & BFS),23,Shortest Path,1631,Path With Minimum Effort,Todo,,No,https://leetcode.com/problems/path-with-minimum-effort/
